0,1,2,3,4,5,6,7,8
,,,ﾌﾟﾚｷｬｽﾄ横帯(隔壁)ﾌﾞﾛｯｸ,【幅、高さ】,m,m,Q10214002,
,,,石積,【構造区分、石材種類】,m2,m2,Q70086001,
,,,石張,【構造区分、石材種類】,m2,m2,Q70087001,
,,,現場打天端ｺﾝｸﾘｰﾄ,【ｺﾝｸﾘｰﾄ規格】,m3,m3,Q70083002,
,,,遮水ｼｰﾄ張,【材質、種類、寸法】,m2,m2,Q10218001,
,,,ｼｰﾙ材,【規格】,m,m,Q10218002,
,防災施設工,防災排水工,暗渠排水管,【材質、径】,m,m,Q70105001,
,,,素掘側溝,【形状寸法】,m,m,Q70106001,
,,,竪排水,【ﾀｲﾌﾟ、寸法】,m,m,Q70107001,
,,,小段排水,【ﾀｲﾌﾟ、寸法】,m,m,Q70108001,
,,,防災集水桝,【桝種類、規格】,箇所,箇所,Q70109001,
,,,沈砂桝,【桝種類、規格】,箇所,箇所,Q70110001,
,,,防災水路,【水路種類、寸法】,m,m,,
,,土砂流出防止工,じゃかご,【径、じゃかご規格、詰石種類・規格】,m,m,Q10593001,
,,,ふとんかご,【高さ、幅、ふとんかご種別・規格、詰石種類・規格】,m,m,Q10594001,
,,,止杭打込,【杭規格】,本,本,Q10178001,
,,,土のう,【積み方】,m2,式 or m2,Q70115001,
,,防護柵設置工,板柵,【形状寸法】,m,m,Q70117001,
,,,立入防止柵,【柵種類、形状寸法】,m,m,Q70118001,
,,,門扉,【形状寸法】,基,基,Q70119001,
,,,合成樹脂ﾈｯﾄ柵,【形状寸法】,m,m,,
,,小堤工,防災小堤,【ﾀｲﾌﾟ、規格】,m,m,Q70121001,
,,種子吹付工,種子散布（平面）,【種子規格、肥料の有無】,m2,m2,,
レベル１,レベル２,レベル３,レベル４,レベル５,積算用,工事数量総,ﾓｼﾞｭｰﾙ,
,,,,,,,,摘　　要
工事区分,工　　種,種　　別,細　　別,規　　格,単位,括表用単位,ｺｰﾄﾞ№,
（整地）,水槽等構造物工,作業土工,(掘削),【土質】,m3,式 or m3,Q20011001,
,,,(床掘り),【土質】,m3,式 or m3,Q20022001,
,,,(埋戻し),【土質】,m3,式 or m3,Q20023001,
,,,(基面整正),【　－　】,m2,式 or m2,Q20024001,
,,,(土砂等運搬),【土質】,m3,式 or m3,Q20012001,
,,,(残土等処分),【　－　】,m3,式 or m3,Q20021001,任意とする場合
,,,(整地),【　－　】,m3,式 or m3,Q20014001,ﾚﾍﾞﾙ3で1式
,,,(掘削補助機械搬入搬出),【　－　】,回,式 or 回 Q20025001,,
,,,(転石破砕),【　－　】,m3,式 or m3,Q20015001,
,,,(積込(ﾙｰｽﾞ)),【土質】,m3,式 or m3,Q20017001,
,,,(人力積込),【土質】,m3,式 or m3,Q20018001,
,,,(人力運搬),【換算距離】,m3,式 or m3,Q20026001,
,,,(押土(ﾙｰｽﾞ)),【土質】,m3,式 or m3,Q20016001,
,,,(土材料),【　－　】,m3,式 or m3,Q20020001,
,,防火水槽工,防火水槽,【規格】,基,基,Q70126001,
,,,防火水槽標識,【規格】,箇所,箇所,,
,雑工作物工,作業土工,(掘削),【土質】,m3,式 or m3,Q20011001,
,,,(床掘り),【土質】,m3,式 or m3,Q20022001,
,,,(埋戻し),【土質】,m3,式 or m3,Q20023001,
,,,(基面整正),【　－　】,m2,式 or m2,Q20024001,
,,,(土砂等運搬),【土質】,m3,式 or m3,Q20012001,
,,,(残土等処分),【　－　】,m3,式 or m3,Q20021001,任意とする場合
,,,(整地),【　－　】,m3,式 or m3,Q20014001,ﾚﾍﾞﾙ3で1式
,,,(掘削補助機械搬入搬出),【　－　】,回,式 or 回,Q20025001,
,,,(転石破砕),【　－　】,m3,式 or m3,Q20015001,
,,,(積込(ﾙｰｽﾞ)),【土質】,m3,式 or m3,Q20017001,
,,,(人力積込),【土質】,m3,式 or m3,Q20018001,
,,,(人力運搬),【換算距離】,m3,式 or m3,Q20026001,
,,,(押土(ﾙｰｽﾞ)),【土質】,m3,式 or m3,Q20016001,
